,Raft,Nutrients,Mixing,Spores,Bag,Day,NDay,UA,UJ,UM,MA,MJ,MM,Chaob,UninfEggRatio,InfEggRatio,EdChl,TotChl,TP,TN,SizeUninf,SESizeUninf,SizeInf,SESizeInf,C,N,P,CN,CP,NP,Light,SRP,ad320,InfDensity,UninfDensity,TotalDensity,PropJuv,PrevTotal,PrevAdult,InfCount,UninfCount,AdultCount,TotalCount,Trt,LogTotDens,LogUninfDens,LogInfDens,LogTotChl,LogEdChl,InedChl,LogInedChl,PropInedChl,LogTP,LogTN,LogC,LogN,LogP
70,1,High,Mix,Spores,6,5,3,55,150,0,0,0,0,0,1.654545455,NA,2.24,2.75,7.845233219,521.2936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,15444.6216964916,15444.6216964916,0.731707317073171,0,0,0,205,55,205,High Mix Spores,9.64501611146201,9.64501611146201,4.3220061323236,1.01160091167848,0.806475865866949,0.51,-0.673344553263766,0.185454545454545,2.05990611410513,6.25631341469889,NA,NA,NA
71,1,Low,No,No,7,5,3,55,128,0,0,0,0,0,2.381818182,NA,2.24,3.15,6.735506509,521.9818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,13787.150099795,13787.150099795,0.699453551912568,0,0,0,183,55,183,Low No No,9.53149228516502,9.53149228516502,4.3220061323236,1.14740245283754,0.806475865866949,0.91,-0.0943106794712417,0.288888888888889,1.90739301252823,6.25763272137443,NA,NA,NA
72,1,High,No,Spores,8,5,3,42,110,0,0,0,0,0,1.30952381,NA,2.04,3.18,7.481388396,521.2936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,11451.6219408133,11451.6219408133,0.723684210526316,0,0,0,152,42,152,High No Spores,9.34588665316988,9.34588665316988,4.3220061323236,1.15688119679209,0.712949807856125,1.14,0.131028262406404,0.358490566037736,2.01241838920066,6.25631341469889,NA,NA,NA
74,2,Low,No,Spores,10,5,3,72,145,0,0,0,0,0,1.763888889,NA,2.3,3.2,5.935047898,498.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,16348.6971128716,16348.6971128716,0.668202764976959,0,0,0,217,72,217,Low No Spores,9.70190348586406,9.70190348586406,4.3220061323236,1.16315080980568,0.832909122935104,0.9,-0.105360515657826,0.28125,1.78087509845872,6.21093536217577,NA,NA,NA
75,2,High,Mix,Spores,11,5,3,71,181,0,0,0,0,0,1.563380282,NA,2.27,3.52,7.736079772,478.5434824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,18985.5837439799,18985.5837439799,0.718253968253968,0,0,0,252,71,252,High Mix Spores,9.85143521983502,9.85143521983502,4.3220061323236,1.25846098961001,0.819779831493311,1.25,0.22314355131421,0.355113636363636,2.04589506988687,6.17074707907367,NA,NA,NA
76,2,Low,Mix,No,12,5,3,39,123,0,0,0,0,0,1.564102564,NA,3.36,5.54,14.41946451,448.5688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,12205.01812113,12205.01812113,0.759259259259259,0,0,0,162,39,162,Low Mix No,9.40960246755598,9.40960246755598,4.3220061323236,1.71199450075919,1.21194097397511,2.18,0.779324876800998,0.393501805054152,2.66857899593842,6.10606206995721,NA,NA,NA
77,2,High,No,Spores,13,5,3,77,205,0,0,0,0,1,0.831168831,NA,2.51,3.29,6.160836579,442.5084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,21245.7722849299,21245.7722849299,0.726950354609929,0,0,0,282,77,282,High No Spores,9.96391320326171,9.96391320326171,4.3220061323236,1.19088756477728,0.920282753143692,0.78,-0.248461359298499,0.237082066869301,1.81821257660354,6.09245944731866,NA,NA,NA
79,2,High,Mix,No,15,5,3,41,151,0,0,0,0,0,1.512195122,NA,2.09,3.22,7.509771079,484.9312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,14465.20666208,14465.20666208,0.786458333333333,0,0,0,192,41,192,High Mix No,9.57950150435138,9.57950150435138,4.3220061323236,1.16938135955632,0.73716406597672,1.13,0.12221763272425,0.350931677018634,2.01620498315433,6.18400702520491,NA,NA,NA
80,2,Low,Mix,Spores,16,5,3,46,94,0,0,0,0,0,1.304347826,NA,2.47,3.46,10.04170696,436.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,10547.5465244333,10547.5465244333,0.671428571428571,0,0,0,140,46,140,Low Mix Spores,9.2636485549329,9.2636485549329,4.3220061323236,1.24126858906963,0.904218150639886,0.99,-0.0100503358535017,0.286127167630058,2.30674711574877,6.07866923874446,NA,NA,NA
81,3,Low,No,No,17,5,3,178,212,0,0,0,0,0,1.797752809,NA,2.36,2.44,7.437100959,429.8727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,29382.4510323499,29382.4510323499,0.543589743589744,0,0,0,390,178,390,Low No No,10.2881528714473,10.2881528714473,4.3220061323236,0.89199803930511,0.858661619037519,0.0800000000000001,-2.52572864430825,0.0327868852459017,2.00648111686097,6.06348918185273,NA,NA,NA
82,3,High,No,Spores,18,5,3,163,215,0,0,0,0,0,1.871165644,NA,2.34,3.36,8.504265919,412.2064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,28478.3756159699,28478.3756159699,0.568783068783069,0,0,0,378,163,378,High No Spores,10.2569003279432,10.2569003279432,4.3220061323236,1.21194097397511,0.85015092936961,1.02,0.0198026272961797,0.303571428571429,2.14056791042376,6.0215241947793,NA,NA,NA
83,3,Low,Mix,No,19,5,3,147,204,0,0,0,0,5,1.795918367,NA,2.27,3.21,6.966824875,414.8152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,26444.2059291149,26444.2059291149,0.581196581196581,0,0,0,351,147,351,Low Mix No,10.1827923557895,10.1827923557895,4.3220061323236,1.16627093714192,0.819779831493311,0.94,-0.0618754037180875,0.292834890965732,1.94115957937495,6.02783311984985,NA,NA,NA
86,3,High,No,No,22,5,3,4,48,0,0,0,0,0,1.75,NA,3.67,5.79,13.29746447,424.3272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,3917.66013764665,3917.66013764665,0.923076923076923,0,0,0,52,4,52,High No No,8.27324985090503,8.27324985090503,4.3220061323236,1.7561322915849,1.30019166206648,2.12,0.751416088683921,0.366148531951641,2.58757337569995,6.05050485573927,NA,NA,NA
87,3,Low,Mix,Spores,23,5,3,21,41,0,0,0,0,0,1.80952381,NA,3.09,4.28,8.251040335,412.2064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,4671.05631796332,4671.05631796332,0.661290322580645,0,0,0,62,21,62,Low Mix Spores,8.44914051736869,8.44914051736869,4.3220061323236,1.45395300959371,1.12817109090965,1.19,0.173953307123438,0.27803738317757,2.11033929360862,6.0215241947793,NA,NA,NA
88,3,High,Mix,No,24,5,3,40,44,0,0,0,0,0,2.825,NA,2.7,3.98,19.70045422,478.8708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,6328.52791465998,6328.52791465998,0.523809523809524,0,0,0,84,40,84,High Mix No,8.75282293116691,8.75282293116691,4.3220061323236,1.38128181929635,0.993251773010283,1.28,0.246860077931526,0.321608040201005,2.98064169233093,6.17143083242636,NA,NA,NA
89,4,Low,No,Spores,25,5,3,18,78,0,0,0,0,2,2.166666667,NA,3.2,4.54,9.26394267,545.7966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,7232.60333103998,7232.60333103998,0.8125,0,0,0,96,18,96,Low No Spores,8.88635432379144,8.88635432379144,4.3220061323236,1.51292701205326,1.16315080980568,1.34,0.29266961396282,0.295154185022026,2.22612973233999,6.30224637886678,NA,NA,NA
90,4,High,No,No,26,5,3,52,116,0,0,0,0,0,2.5,NA,2.72,4.17,13.0080638,466.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,12657.05582932,12657.05582932,0.69047619047619,0,0,0,168,52,168,High No No,9.44597011172686,9.44597011172686,4.3220061323236,1.42791603581071,1.00063188030791,1.45,0.371563556432483,0.347721822541966,2.56556945746747,6.14579378242183,NA,NA,NA
91,4,Low,Mix,No,27,5,3,28,51,0,0,0,0,0,2.464285714,NA,3.15,4.04,7.87120196,381.9044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,5951.82982450165,5951.82982450165,0.645569620253165,0,0,0,79,28,79,Low Mix No,8.69145398479062,8.69145398479062,4.3220061323236,1.39624469197306,1.14740245283754,0.89,-0.116533816255951,0.22029702970297,2.06321077757843,5.94517031550577,NA,NA,NA
92,4,High,Mix,Spores,28,5,3,16,29,0,0,0,0,0,2,NA,3.1,4.32,7.057262584,454.6292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,3390.28281142499,3390.28281142499,0.644444444444444,0,0,0,45,16,45,High Mix Spores,8.12866862209392,8.12866862209392,4.3220061323236,1.46325540225602,1.1314021114911,1.22,0.198850858745165,0.282407407407407,1.95405724033878,6.11948214164776,NA,NA,NA
93,4,Low,No,No,29,5,3,54,119,0,0,0,0,0,2.407407407,NA,3.14,4.71,11.38018505,346.4993212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,13033.7539194783,13033.7539194783,0.687861271676301,0,0,0,173,54,173,Low No No,9.47529772682138,9.47529772682138,4.3220061323236,1.54968790802833,1.14422279992016,1.57,0.451075619360217,0.333333333333333,2.43187368955016,5.84788085960928,NA,NA,NA
94,4,Low,Mix,Spores,30,5,3,55,84,0,0,0,0,0,2.581818182,NA,3.07,4.29,10.96417159,351.6024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,10472.2069064016,10472.2069064016,0.60431654676259,0,0,0,139,55,139,Low Mix Spores,9.25648006545429,9.25648006545429,4.3220061323236,1.45628673293993,1.12167756159911,1.22,0.198850858745165,0.284382284382284,2.39463282862818,5.86250099172629,NA,NA,NA
95,4,High,No,Spores,31,5,3,74,115,0,0,0,0,0,1.662162162,NA,3.11,4.47,14.34654188,394.0252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,14239.187807985,14239.187807985,0.608465608465608,0,0,0,189,74,189,High No Spores,9.56375314738324,9.56375314738324,4.3220061323236,1.49738840862548,1.13462272619114,1.36,0.307484699747961,0.304250559284116,2.6635089291922,5.97641486664348,NA,NA,NA
96,4,High,Mix,No,32,5,3,24,45,0,0,0,0,0,1.333333333,NA,2.23,3.23,9.083067253,394.0252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,5198.43364418498,5198.43364418498,0.652173913043478,0,0,0,69,24,69,High Mix No,8.55611263692086,8.55611263692086,4.3220061323236,1.17248213723457,0.802001585472027,1,0,0.309597523219814,2.20641193876438,5.97641486664348,NA,NA,NA
97,1,Low,Mix,Spores,1,8,4,107,586,0,0,0,0,0,1.158878505,NA,3.64,4.23,7.939302717,511.8055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,52210.3552959448,52210.3552959448,0.845598845598846,0,0,0,693,107,693,Low Mix Spores,10.8630361315135,10.8630361315135,4.3220061323236,1.44220199305819,1.29198368164865,0.59,-0.527632742082371,0.139479905437352,2.0718254523851,6.23794467005325,NA,NA,NA
98,1,High,Mix,No,2,8,4,150,333,0,0,0,0,0,1.04,NA,3.51,5.54,14.15549465,483.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,36389.0355092949,36389.0355092949,0.68944099378882,0,0,0,483,150,483,High Mix No,10.5020227859762,10.5020227859762,4.3220061323236,1.71199450075919,1.25561603747777,2.03,0.708035793053696,0.366425992779783,2.65010286320232,6.18205391450084,NA,NA,NA
100,1,High,No,No,4,8,4,220,622,0,0,0,0,0,1.168181818,NA,3.04,4.6,16.73380153,557.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,63435.9583826631,63435.9583826631,0.738717339667458,0,0,0,842,220,842,High No No,11.0577861465659,11.0577861465659,4.3220061323236,1.52605630349505,1.11185751541813,1.56,0.444685821261445,0.339130434782609,2.81743071751862,6.32382835568465,NA,NA,NA
101,1,Low,Mix,No,5,8,4,161,382,0,0,0,0,0,1.98136646,NA,3.04,4.75,10.48229033,503.1124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,40909.4125911949,40909.4125911949,0.703499079189687,0,0,0,543,161,543,Low Mix No,10.6191154522575,10.6191154522575,4.3220061323236,1.55814461804655,1.11185751541813,1.71,0.536493370514568,0.36,2.3496871979548,6.22081360438097,NA,NA,NA
102,1,High,Mix,Spores,6,8,4,124,349,0,0,0,0,0,1.5,NA,5.54,8.65,20.03615349,471.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,35635.6393289782,35635.6393289782,0.73784355179704,0,0,0,473,124,473,High Mix Spores,10.4811015208155,10.4811015208155,4.3220061323236,2.15755932094379,1.71199450075919,3.11,1.13462272619114,0.359537572254335,2.99753831617675,6.1558342628438,NA,NA,NA
103,1,Low,No,No,7,8,4,264,599,0,0,0,0,0,1.435606061,NA,3,4.6,9.228456157,442.5084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,65018.0903613281,65018.0903613281,0.694090382387022,0,0,0,863,264,863,Low No No,11.082420823407,11.082420823407,4.3220061323236,1.52605630349505,1.09861228866811,1.6,0.470003629245735,0.347826086956522,2.22229177092768,6.09245944731866,NA,NA,NA
104,1,High,No,Spores,8,8,4,83,373,0,0,0,0,1,1.156626506,NA,2.95,5,24.36276436,571.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,34354.8658224399,34354.8658224399,0.817982456140351,0,0,0,456,83,456,High No Spores,10.444498941838,10.444498941838,4.3220061323236,1.6094379124341,1.08180517035173,2.05,0.717839793150317,0.41,3.19305591587794,6.34854440905635,NA,NA,NA
106,2,Low,No,Spores,10,8,4,143,348,0,0,0,0,0,1.062937063,NA,3.31,4.67,14.72060301,478.8708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,36991.7524535482,36991.7524535482,0.708757637474542,0,0,0,491,143,491,Low No Spores,10.5184502601181,10.5184502601181,4.3220061323236,1.54115907168081,1.19694818938897,1.36,0.307484699747961,0.291220556745182,2.68924807781493,6.17143083242636,NA,NA,NA
107,2,High,Mix,Spores,11,8,4,115,259,0,0,0,0,1,1.069565217,NA,6.78,8.4,16.99869607,551.5956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,28177.0171438432,28177.0171438432,0.692513368983957,0,0,0,374,115,374,High Mix Spores,10.2462619297381,10.2462619297381,4.3220061323236,2.12823170584927,1.9139771019523,1.62,0.482426149244293,0.192857142857143,2.83313663934978,6.31281516909255,NA,NA,NA
108,2,Low,Mix,No,12,8,4,160,453,0,0,0,0,0,0.76875,NA,2.97,4.61,9.281435066,472.8104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,46183.1858534115,46183.1858534115,0.738988580750408,0,0,0,613,160,613,Low Mix No,10.7403710682598,10.7403710682598,4.3220061323236,1.52822785700856,1.08856195281461,1.64,0.494696241836107,0.355748373101952,2.22801617557522,6.15869446246587,NA,NA,NA
109,2,High,No,Spores,13,8,4,310,533,0,0,0,0,1,1.480645161,NA,3.47,4.71,17.52848516,497.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,63511.2980006948,63511.2980006948,0.63226571767497,0,0,0,843,310,843,High No Spores,11.0589730903255,11.0589730903255,4.3220061323236,1.54968790802833,1.24415459395877,1.24,0.215111379616945,0.263269639065817,2.86382728105205,6.20869464839013,NA,NA,NA
111,2,High,Mix,No,15,8,4,156,494,0,0,0,0,0,1.737179487,NA,2.73,4.14,19.02955423,509.1728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,48970.7517205832,48970.7517205832,0.76,0,0,0,650,156,650,High Mix No,10.7989784952133,10.7989784952133,4.3220061323236,1.42069578783722,1.00430160919687,1.41,0.343589704390077,0.340579710144927,2.94599325644095,6.2327874481316,NA,NA,NA
112,2,Low,Mix,Spores,16,8,4,130,316,0,0,0,0,0,1.384615385,NA,2.6,4.01,7.356534723,509.1728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,33601.4696421232,33601.4696421232,0.708520179372197,0,0,0,446,130,446,Low Mix Spores,10.4223250843437,10.4223250843437,4.3220061323236,1.38879124131848,0.955511445027436,1.41,0.343589704390077,0.351620947630923,1.99558899618822,6.2327874481316,NA,NA,NA
113,3,Low,No,No,17,8,4,133,321,0,0,0,0,0,1.609022556,NA,3.15,3.99,10.38901044,NA,1.306666667,0.015649416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,34204.1865863766,34204.1865863766,0.70704845814978,0,0,0,454,133,454,Low No No,10.4401033303649,10.4401033303649,4.3220061323236,1.38379123090177,1.14740245283754,0.84,-0.174353387144777,0.210526315789474,2.34074855899693,NA,NA,NA,NA
114,3,High,No,Spores,18,8,4,97,347,1,0,0,0,0,1.845360825,NA,3.94,5.38,17.86401824,540.3475,1.353333333,0.02183182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,33526.1300240916,33526.1300240916,0.779775280898876,0,0,0,445,97,445,High No Spores,10.4200804144898,10.4200804144898,4.3220061323236,1.68268837417369,1.37118072330984,1.44,0.364643113587909,0.267657992565056,2.88278853558525,6.29221245110758,NA,NA,NA
115,3,Low,Mix,No,19,8,4,157,417,0,0,0,0,3,1.987261146,NA,2.65,3.71,11.66548595,440.1475,1.320666667,0.013407266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,43244.9407501765,43244.9407501765,0.726480836236934,0,0,0,574,157,574,Low Mix No,10.6746355286432,10.6746355286432,4.3220061323236,1.31103187661934,0.974559639998131,1.06,0.0582689081239758,0.285714285714286,2.45663456341409,6.08710989800893,NA,NA,NA
118,3,High,No,No,22,8,4,187,380,1,0,0,0,0,2.240641711,NA,5.47,8.01,14.79124155,600.0788,1.350666667,0.023483588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,42792.9030419865,42792.9030419865,0.669014084507042,0,0,0,568,187,568,High No No,10.6641275510448,10.6641275510448,4.3220061323236,2.08069076108027,1.69927861643389,2.54,0.932164081030445,0.317103620474407,2.69403521843277,6.39706097992601,NA,NA,NA
119,3,Low,Mix,Spores,23,8,4,75,256,0,0,0,0,0,3,NA,3.67,4.95,6.40291437,377.5225,1.327333333,0.026634751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,24937.4135684816,24937.4135684816,0.773413897280967,0,0,0,331,75,331,Low Mix Spores,10.1241245077007,10.1241245077007,4.3220061323236,1.5993875765806,1.30019166206648,1.28,0.246860077931526,0.258585858585859,1.85675325702853,5.93363016956192,NA,NA,NA
120,3,High,Mix,No,24,8,4,110,330,0,0,0,0,0,3.045454545,NA,4.76,6.62,14.20847356,565.3975,1.334666667,0.017731933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,33149.4319339332,33149.4319339332,0.75,0,0,0,440,110,440,High Mix No,10.4087808592359,10.4087808592359,4.3220061323236,1.89009536994892,1.56024766824333,1.86,0.62057648772511,0.280966767371601,2.65383851621238,6.33752902360132,NA,NA,NA
121,4,Low,No,Spores,25,8,4,110,338,0,0,0,0,0,2.418181818,NA,5.35,5.95,8.218722878,515.2975,1.338,0.014490584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,33752.1488781866,33752.1488781866,0.754464285714286,0,0,0,448,110,448,Low No Spores,10.4267993647386,10.4267993647386,4.3220061323236,1.78339121955754,1.67709656090792,0.600000000000001,-0.51082562376599,0.100840336134454,2.10641482935738,6.24474440377962,NA,NA,NA
122,4,High,No,No,26,8,4,65,250,0,0,0,0,0,2.707692308,NA,4.25,6.22,13.89007351,446.41,1.385333333,0.01660725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,23731.9796799749,23731.9796799749,0.793650793650794,0,0,0,315,65,315,High No No,10.0745787711492,10.0745787711492,4.3220061323236,1.82776990675109,1.44691898293633,1.97,0.678033542749897,0.316720257234727,2.63117444904886,6.10123781224988,NA,NA,NA
123,4,Low,Mix,No,27,8,4,98,302,0,0,0,0,0,2.62244898,NA,3.79,5.27,6.928976472,440.1475,1.349333333,0.015424516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,30135.8472126666,30135.8472126666,0.755,0,0,0,400,98,400,Low Mix No,10.3134706794316,10.3134706794316,4.3220061323236,1.66203036255327,1.33236601909433,1.48,0.392042087776023,0.280834914611006,1.9357121070557,6.08710989800893,NA,NA,NA
124,4,High,Mix,Spores,28,8,4,87,268,0,0,0,0,0,2.563218391,NA,5.18,6.69,14.19042541,529.4608,1.356666667,0.016666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,26745.5644012416,26745.5644012416,0.754929577464789,0,0,0,355,87,355,High Mix Spores,10.194123921799,10.194123921799,4.3220061323236,1.90061387414014,1.64480505627139,1.51,0.412109650826833,0.225710014947683,2.65256747028565,6.27185913019519,NA,NA,NA
125,4,Low,No,No,29,8,4,112,317,0,0,0,0,0,1.571428571,NA,3.16,5.24,13.11269212,472.8104,1.264,0.025123145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,32320.6961355849,32320.6961355849,0.738927738927739,0,0,0,429,112,429,Low No No,10.3834630512516,10.3834630512516,4.3220061323236,1.65632149833295,1.15057202759882,2.08,0.732367893713227,0.396946564885496,2.57358062528334,6.15869446246587,NA,NA,NA
126,4,Low,Mix,Spores,30,8,4,50,209,0,0,0,0,0,2.92,NA,3.9,6.03,13.11269212,446.41,1.354666667,0.024086689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,19512.9610702016,19512.9610702016,0.806949806949807,0,0,0,259,50,259,Low Mix Spores,9.87883419402314,9.87883419402314,4.3220061323236,1.79674701073909,1.3609765531356,2.13,0.756121979721334,0.353233830845771,2.57358062528334,6.10123781224988,NA,NA,NA
127,4,High,No,Spores,31,8,4,56,279,0,0,0,0,0,2,NA,4.72,6.71,16.89359254,479.3237809,1.341333333,0.024295751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,25238.7720406083,25238.7720406083,0.832835820895522,0,0,0,335,56,335,High No Spores,10.1361366641487,10.1361366641487,4.3220061323236,1.90359895098359,1.55180879959746,1.99,0.688134638736401,0.296572280178838,2.82693441039245,6.17237632083294,NA,NA,NA
128,4,High,Mix,No,32,8,4,90,204,0,0,0,0,0,2.466666667,NA,3.43,5.61,14.66745491,502.7725,1.329333333,0.018313573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,22149.8477013099,22149.8477013099,0.693877551020408,0,0,0,294,90,294,High Mix No,10.0055858996623,10.0055858996623,4.3220061323236,1.72455071953461,1.23256026117785,2.18,0.779324876800998,0.388591800356506,2.68563108766964,6.22013778150514,NA,NA,NA
129,1,Low,Mix,Spores,1,12,5,90,223,0,0,0,0,0,1.6,NA,0.98,2.14,9.499080712,587.4725,1.374666667,0.020853806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,23581.3004439116,23581.3004439116,0.712460063897764,0,0,0,313,90,313,Low Mix Spores,10.0682093228638,10.0682093228638,4.3220061323236,0.76080582903376,-0.0202027073175195,1.16,0.148420005118273,0.542056074766355,2.25119502676636,6.37582943641212,NA,NA,NA
130,1,High,Mix,No,2,12,5,222,525,0,0,0,0,0,2.1,NA,2.1,2.68,15.59458226,712.5002,1.37,0.016095977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,56278.6946696548,56278.6946696548,0.70281124497992,0,0,0,747,222,747,High Mix No,10.9380713174564,10.9380713174564,4.3220061323236,0.985816794522765,0.741937344729377,0.58,-0.544727175441672,0.216417910447761,2.74692356291036,6.56878019284452,NA,NA,NA
132,1,High,No,No,4,12,5,202,427,0,0,0,0,0,1.566666667,NA,2.28,2.97,13.08041397,581.5188,1.347333333,0.020532751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,47388.6197419182,47388.6197419182,0.678855325914149,0,0,0,629,202,629,High No No,10.766137389024,10.766137389024,4.3220061323236,1.08856195281461,0.824175442966349,0.69,-0.371063681390831,0.232323232323232,2.5711159946108,6.36564330161668,NA,NA,NA
133,1,Low,Mix,No,5,12,5,106,414,0,0,0,0,0,1.9,NA,1.41,2.83,8.070164918,575.5651,1.352,0.022805525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,39176.6013764665,39176.6013764665,0.796153846153846,0,0,0,520,106,520,Low Mix No,10.5758349438991,10.5758349438991,4.3220061323236,1.04027671165515,0.343589704390077,1.42,0.350656871613169,0.501766784452297,2.08817391800861,6.3553523407914,NA,NA,NA
134,1,High,Mix,Spores,6,12,5,207,309,0,2,0,0,0,2.733333333,2,1.5,2.68,9.951269254,588.3118,1.387333333,0.025917346,1.45,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.679236063333,38875.2429043399,39025.9221404032,0.596525096525097,0.00386100386100386,0.00956937799043062,2,516,209,518,High Mix Spores,10.5719813745831,10.5681128978052,5.01515331288354,0.985816794522765,0.405465108108164,1.18,0.165514438477574,0.440298507462687,2.29770010625109,6.3772570794629,NA,NA,NA
135,1,Low,No,No,7,12,5,141,425,0,0,0,0,0,1.677419355,NA,1.17,2.36,7.204021795,547.1161,1.368387097,0.023256849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,42642.2238059232,42642.2238059232,0.750883392226148,0,0,0,566,141,566,Low No No,10.6606002105268,10.6606002105268,4.3220061323236,0.858661619037519,0.157003748809665,1.19,0.173953307123438,0.504237288135593,1.97463945271169,6.30466102852931,NA,NA,NA
136,1,High,No,Spores,8,12,5,78,344,0,1,1,0,0,1.666666667,1,4.6,7.06,18.82532818,605.9671,1.347333333,0.025469988,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.679236063333,31793.3188093632,31943.9980454266,0.813679245283019,0.00471698113207547,0.0126582278481013,2,422,79,424,High No Spores,10.3717395875556,10.3670114463596,5.01515331288354,1.95444505150515,1.52605630349505,2.46,0.900161349944271,0.348441926345609,2.93520320673453,6.40682569416649,NA,NA,NA
138,2,Low,No,Spores,10,12,5,50,182,0,0,0,0,0,1.366666667,NA,3,6.91,28.33858365,664.8706,1.28,0.021782625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.3396180316664,17478.7913833466,17478.7913833466,0.78448275862069,0,0,0,232,50,232,Low No Spores,9.76874350398991,9.76874350398991,4.3220061323236,1.93296963777958,1.09861228866811,3.91,1.36353737399727,0.565846599131693,3.34422425594942,6.49959243525529,NA,NA,NA
